Gmina,Powiat,Województwo,Andrzej Sebastian DUDA,Rafał Kazimierz TRZASKOWSKI
gm. Kurów,puławski,lubelskie,2958,1073
gm. Markuszów,puławski,lubelskie,1237,414
gm. Nałęczów,puławski,lubelskie,3601,2039
gm. Puławy,puławski,lubelskie,4353,2224
gm. Wąwolnica,puławski,lubelskie,1949,587
gm. Żyrzyn,puławski,lubelskie,2693,827
m. Radzyń Podlaski,radzyński,lubelskie,4989,3039
gm. Borki,radzyński,lubelskie,2325,620
gm. Czemierniki,radzyński,lubelskie,1806,592
gm. Kąkolewnica,radzyński,lubelskie,3639,644
gm. Komarówka Podlaska,radzyński,lubelskie,1620,529
gm. Radzyń Podlaski,radzyński,lubelskie,3166,884
gm. Ulan-Majorat,radzyński,lubelskie,2707,471
gm. Wohyń,radzyński,lubelskie,2484,820
m. Dęblin,rycki,lubelskie,4900,3454
gm. Kłoczew,rycki,lubelskie,3511,543
gm. Nowodwór,rycki,lubelskie,1910,366
gm. Ryki,rycki,lubelskie,7621,3629
gm. Stężyca,rycki,lubelskie,2112,749
gm. Ułęż,rycki,lubelskie,1265,463
m. Świdnik,świdnicki,lubelskie,11896,8596
gm. Mełgiew,świdnicki,lubelskie,3569,1718
gm. Piaski,świdnicki,lubelskie,3976,1587
gm. Rybczewice,świdnicki,lubelskie,1458,303
gm. Trawniki,świdnicki,lubelskie,3189,1014
m. Tomaszów Lubelski,tomaszowski,lubelskie,5928,4120
gm. Bełżec,tomaszowski,lubelskie,1133,445
gm. Jarczów,tomaszowski,lubelskie,1397,270
gm. Krynice,tomaszowski,lubelskie,1330,358
gm. Lubycza Królewska,tomaszowski,lubelskie,1851,771
gm. Łaszczów,tomaszowski,lubelskie,2304,689
gm. Rachanie,tomaszowski,lubelskie,2091,419
gm. Susiec,tomaszowski,lubelskie,2953,977
gm. Tarnawatka,tomaszowski,lubelskie,1655,307
gm. Telatyn,tomaszowski,lubelskie,1466,375
gm. Tomaszów Lubelski,tomaszowski,lubelskie,4332,1292
gm. Tyszowce,tomaszowski,lubelskie,2269,526
gm. Ulhówek,tomaszowski,lubelskie,1640,336
m. Włodawa,włodawski,lubelskie,3472,3441
gm. Hanna,włodawski,lubelskie,975,416
gm. Hańsk,włodawski,lubelskie,1148,559
gm. Stary Brus,włodawski,lubelskie,854,256
gm. Urszulin,włodawski,lubelskie,1784,734
gm. Włodawa,włodawski,lubelskie,2070,1687
gm. Wola Uhruska,włodawski,lubelskie,1264,642
gm. Wyryki,włodawski,lubelskie,1045,412
gm. Adamów,zamojski,lubelskie,2024,560
gm. Grabowiec,zamojski,lubelskie,1671,372
gm. Komarów-Osada,zamojski,lubelskie,2016,660
gm. Krasnobród,zamojski,lubelskie,3465,988
gm. Łabunie,zamojski,lubelskie,2680,616
gm. Miączyn,zamojski,lubelskie,2158,588
gm. Nielisz,zamojski,lubelskie,2179,611
gm. Radecznica,zamojski,lubelskie,2443,475
gm. Sitno,zamojski,lubelskie,2776,604
gm. Skierbieszów,zamojski,lubelskie,2201,491
gm. Stary Zamość,zamojski,lubelskie,2203,630
gm. Sułów,zamojski,lubelskie,1916,462
gm. Szczebrzeszyn,zamojski,lubelskie,4148,1362
gm. Zamość,zamojski,lubelskie,8042,4003
gm. Zwierzyniec,zamojski,lubelskie,2217,1560
m. Biała Podlaska,Biała Podlaska,lubelskie,16160,12580
m. Chełm,Chełm,lubelskie,16196,14199
m. Lublin,Lublin,lubelskie,87087,91502
m. Zamość,Zamość,lubelskie,17922,13774
m. Kostrzyn nad Odrą,gorzowski,lubuskie,2923,5929
gm. Bogdaniec,gorzowski,lubuskie,1573,1946
gm. Deszczno,gorzowski,lubuskie,2165,2788
gm. Kłodawa,gorzowski,lubuskie,1586,3174
gm. Lubiszyn,gorzowski,lubuskie,1412,1775
gm. Santok,gorzowski,lubuskie,1757,2519
gm. Witnica,gorzowski,lubuskie,2676,3168
m. Gubin,krośnieński,lubuskie,2350,5468
gm. Bobrowice,krośnieński,lubuskie,722,843
gm. Bytnica,krośnieński,lubuskie,573,603
gm. Dąbie,krośnieński,lubuskie,1106,1210
gm. Gubin,krośnieński,lubuskie,1510,1839
gm. Krosno Odrzańskie,krośnieński,lubuskie,3373,5246
gm. Maszewo,krośnieński,lubuskie,705,602
gm. Bledzew,międzyrzecki,lubuskie,1018,1123
gm. Międzyrzecz,międzyrzecki,lubuskie,4879,8004
gm. Przytoczna,międzyrzecki,lubuskie,1160,1574
gm. Pszczew,międzyrzecki,lubuskie,1151,1421
gm. Skwierzyna,międzyrzecki,lubuskie,2454,3608
gm. Trzciel,międzyrzecki,lubuskie,1417,1786
m. Nowa Sól,nowosolski,lubuskie,7702,11344
gm. Bytom Odrzański,nowosolski,lubuskie,1092,1356
gm. Kolsko,nowosolski,lubuskie,870,843
gm. Kożuchów,nowosolski,lubuskie,3364,3993
gm. Nowa Sól,nowosolski,lubuskie,1640,1824
gm. Nowe Miasteczko,nowosolski,lubuskie,1330,1179
gm. Otyń,nowosolski,lubuskie,1566,1955
gm. Siedlisko,nowosolski,lubuskie,942,659
gm. Cybinka,słubicki,lubuskie,1396,1506
gm. Górzyca,słubicki,lubuskie,977,980
gm. Ośno Lubuskie,słubicki,lubuskie,1251,1771
gm. Rzepin,słubicki,lubuskie,1976,2648
gm. Słubice,słubicki,lubuskie,3156,7024
gm. Dobiegniew,strzelecko-drezdenecki,lubuskie,1613,1699
gm. Drezdenko,strzelecko-drezdenecki,lubuskie,3937,4508
gm. Stare Kurowo,strzelecko-drezdenecki,lubuskie,863,939
gm. Strzelce Krajeńskie,strzelecko-drezdenecki,lubuskie,3199,4742
gm. Zwierzyn,strzelecko-drezdenecki,lubuskie,973,973
gm. Krzeszyce,sulęciński,lubuskie,1156,1249
gm. Lubniewice,sulęciński,lubuskie,708,1015
gm. Słońsk,sulęciński,lubuskie,1225,1227
gm. Sulęcin,sulęciński,lubuskie,3617,3855
gm. Torzym,sulęciński,lubuskie,1262,1718
gm. Lubrza,świebodziński,lubuskie,846,1127
gm. Łagów,świebodziński,lubuskie,1122,1531
gm. Skąpe,świebodziński,lubuskie,1113,1642
gm. Szczaniec,świebodziński,lubuskie,964,886
gm. Świebodzin,świebodziński,lubuskie,5819,8616
gm. Zbąszynek,świebodziński,lubuskie,1586,2656
gm. Babimost,zielonogórski,lubuskie,1333,1878
gm. Bojadła,zielonogórski,lubuskie,723,776
gm. Czerwieńsk,zielonogórski,lubuskie,1931,2849
gm. Kargowa,zielonogórski,lubuskie,1221,1712
gm. Nowogród Bobrzański,zielonogórski,lubuskie,2071,2869
gm. Sulechów,zielonogórski,lubuskie,5009,7803
gm. Świdnica,zielonogórski,lubuskie,1221,2446
gm. Trzebiechów,zielonogórski,lubuskie,688,751
gm. Zabór,zielonogórski,lubuskie,727,1599
m. Gozdnica,żagański,lubuskie,586,701
m. Żagań,żagański,lubuskie,4727,7419
gm. Brzeźnica,żagański,lubuskie,1053,758
gm. Iłowa,żagański,lubuskie,1549,1548
gm. Małomice,żagański,lubuskie,1182,1198
gm. Niegosławice,żagański,lubuskie,1093,945
gm. Szprotawa,żagański,lubuskie,4484,4737
gm. Wymiarki,żagański,lubuskie,631,528
gm. Żagań,żagański,lubuskie,1538,1696
m. Łęknica,żarski,lubuskie,366,762
m. Żary,żarski,lubuskie,6887,10950
gm. Brody,żarski,lubuskie,618,809
gm. Jasień,żarski,lubuskie,1314,1767
gm. Lipinki Łużyckie,żarski,lubuskie,672,758
gm. Lubsko,żarski,lubuskie,3202,4984
gm. Przewóz,żarski,lubuskie,829,676
gm. Trzebiel,żarski,lubuskie,1245,1415
gm. Tuplice,żarski,lubuskie,551,818
gm. Żary,żarski,lubuskie,2731,3069
gm. Sława,wschowski,lubuskie,3189,3540
gm. Szlichtyngowa,wschowski,lubuskie,1612,832
gm. Wschowa,wschowski,lubuskie,5367,4606
m. Gorzów Wielkopolski,Gorzów Wielkopolski,lubuskie,22330,38237
m. Zielona Góra,Zielona Góra,lubuskie,23134,51322
m. Bełchatów,bełchatowski,łódzkie,18620,11268
gm. Bełchatów,bełchatowski,łódzkie,4850,1841
gm. Drużbice,bełchatowski,łódzkie,2210,720
gm. Kleszczów,bełchatowski,łódzkie,2235,973
gm. Kluki,bełchatowski,łódzkie,1887,585
gm. Rusiec,bełchatowski,łódzkie,2260,786
gm. Szczerców,bełchatowski,łódzkie,3407,1292
gm. Zelów,bełchatowski,łódzkie,5659,2285
m. Kutno,kutnowski,łódzkie,12133,11083
gm. Bedlno,kutnowski,łódzkie,2148,709
gm. Dąbrowice,kutnowski,łódzkie,794,243
gm. Krośniewice,kutnowski,łódzkie,2945,1232
gm. Krzyżanów,kutnowski,łódzkie,1599,599
gm. Kutno,kutnowski,łódzkie,3020,1520
gm. Łanięta,kutnowski,łódzkie,930,284
gm. Nowe Ostrowy,kutnowski,łódzkie,1264,533
gm. Oporów,kutnowski,łódzkie,1098,302
gm. Strzelce,kutnowski,łódzkie,1551,521
gm. Żychlin,kutnowski,łódzkie,3406,2217
gm. Buczek,łaski,łódzkie,1893,983
gm. Łask,łaski,łódzkie,7802,7028
gm. Sędziejowice,łaski,łódzkie,2465,1124
gm. Widawa,łaski,łódzkie,2960,1163
gm. Wodzierady,łaski,łódzkie,1301,922
m. Łęczyca,łęczycki,łódzkie,3329,3869
gm. Daszyna,łęczycki,łódzkie,1436,486
gm. Góra Świętej Małgorzaty,łęczycki,łódzkie,1865,437
gm. Grabów,łęczycki,łódzkie,2467,593
gm. Łęczyca,łęczycki,łódzkie,3493,1428
gm. Piątek,łęczycki,łódzkie,2501,798
gm. Świnice Warckie,łęczycki,łódzkie,1545,556
gm. Witonia,łęczycki,łódzkie,1332,429
m. Łowicz,łowicki,łódzkie,8328,7321
gm. Bielawy,łowicki,łódzkie,2193,743
gm. Chąśno,łowicki,łódzkie,1226,340
gm. Domaniewice,łowicki,łódzkie,1862,602
gm. Kiernozia,łowicki,łódzkie,1382,428
gm. Kocierzew Południowy,łowicki,łódzkie,1940,404
gm. Łowicz,łowicki,łódzkie,3048,1195
gm. Łyszkowice,łowicki,łódzkie,2728,829
gm. Nieborów,łowicki,łódzkie,3772,1554
gm. Zduny,łowicki,łódzkie,2171,965
gm. Andrespol,łódzki wschodni,łódzkie,3834,4240
gm. Brójce,łódzki wschodni,łódzkie,2363,1601
gm. Koluszki,łódzki wschodni,łódzkie,7287,5857
gm. Nowosolna,łódzki wschodni,łódzkie,1288,1934
gm. Rzgów,łódzki wschodni,łódzkie,3271,2834
gm. Tuszyn,łódzki wschodni,łódzkie,3887,3105
gm. Białaczów,opoczyński,łódzkie,2548,678
gm. Drzewica,opoczyński,łódzkie,4784,1304
gm. Mniszków,opoczyński,łódzkie,2109,506
gm. Opoczno,opoczyński,łódzkie,12998,5985
gm. Paradyż,opoczyński,łódzkie,2235,393
gm. Poświętne,opoczyński,łódzkie,1581,428
gm. Sławno,opoczyński,łódzkie,3445,768
gm. Żarnów,opoczyński,łódzkie,2672,792
m. Konstantynów Łódzki,pabianicki,łódzkie,4384,5625
m. Pabianice,pabianicki,łódzkie,15208,18659
gm. Dłutów,pabianicki,łódzkie,1667,1010
gm. Dobroń,pabianicki,łódzkie,2285,2069
gm. Ksawerów,pabianicki,łódzkie,1963,2406
gm. Lutomiersk,pabianicki,łódzkie,2497,2406
gm. Pabianice,pabianicki,łódzkie,2285,2076
gm. Działoszyn,pajęczański,łódzkie,4196,2369
gm. Kiełczygłów,pajęczański,łódzkie,1850,504
gm. Nowa Brzeźnica,pajęczański,łódzkie,1758,801
gm. Pajęczno,pajęczański,łódzkie,3898,2260
gm. Rząśnia,pajęczański,łódzkie,2195,604
gm. Siemkowice,pajęczański,łódzkie,1946,603
gm. Strzelce Wielkie,pajęczański,łódzkie,1938,489
gm. Sulmierzyce,pajęczański,łódzkie,1934,623
gm. Aleksandrów,piotrkowski,łódzkie,2104,657
gm. Czarnocin,piotrkowski,łódzkie,1752,614
gm. Gorzkowice,piotrkowski,łódzkie,3527,1127
gm. Grabica,piotrkowski,łódzkie,2691,725
gm. Łęki Szlacheckie,piotrkowski,łódzkie,1463,418
gm. Moszczenica,piotrkowski,łódzkie,5047,1930
gm. Ręczno,piotrkowski,łódzkie,1527,560
gm. Rozprza,piotrkowski,łódzkie,4964,1564
gm. Sulejów,piotrkowski,łódzkie,5891,3153
gm. Wola Krzysztoporska,piotrkowski,łódzkie,5131,1457
gm. Wolbórz,piotrkowski,łódzkie,3131,1526
gm. Dalików,poddębicki,łódzkie,1465,717
gm. Pęczniew,poddębicki,łódzkie,1398,717
gm. Poddębice,poddębicki,łódzkie,4693,3611
gm. Uniejów,poddębicki,łódzkie,2729,1348
gm. Wartkowice,poddębicki,łódzkie,2291,875
gm. Zadzim,poddębicki,łódzkie,1922,833
m. Radomsko,radomszczański,łódzkie,12532,11517
gm. Dobryszyce,radomszczański,łódzkie,1543,758
gm. Gidle,radomszczański,łódzkie,2082,1065
gm. Gomunice,radomszczański,łódzkie,2191,1057
gm. Kamieńsk,radomszczański,łódzkie,2514,760
gm. Kobiele Wielkie,radomszczański,łódzkie,1569,755
gm. Kodrąb,radomszczański,łódzkie,1785,707
gm. Lgota Wielka,radomszczański,łódzkie,1680,604
gm. Ładzice,radomszczański,łódzkie,1673,737
gm. Masłowice,radomszczański,łódzkie,1788,534
gm. Przedbórz,radomszczański,łódzkie,2764,1116
gm. Radomsko,radomszczański,łódzkie,1848,1056
gm. Wielgomłyny,radomszczański,łódzkie,1927,513
gm. Żytno,radomszczański,łódzkie,2167,699
m. Rawa Mazowiecka,rawski,łódzkie,5324,4093
gm. Biała Rawska,rawski,łódzkie,4302,1630
gm. Cielądz,rawski,łódzkie,1814,357
gm. Rawa Mazowiecka,rawski,łódzkie,3486,1219
gm. Regnów,rawski,łódzkie,941,227
gm. Sadkowice,rawski,łódzkie,2295,550
m. Sieradz,sieradzki,łódzkie,11561,11142
gm. Błaszki,sieradzki,łódzkie,5768,1868
gm. Brąszewice,sieradzki,łódzkie,1951,400
gm. Brzeźnio,sieradzki,łódzkie,2228,1062
gm. Burzenin,sieradzki,łódzkie,2004,888
gm. Goszczanów,sieradzki,łódzkie,2219,628
gm. Klonowa,sieradzki,łódzkie,1235,367
gm. Sieradz,sieradzki,łódzkie,3931,1788
gm. Warta,sieradzki,łódzkie,4821,1911
gm. Wróblew,sieradzki,łódzkie,2455,792
gm. Złoczew,sieradzki,łódzkie,2709,1008
gm. Bolimów,skierniewicki,łódzkie,1486,722
gm. Głuchów,skierniewicki,łódzkie,3042,533
gm. Godzianów,skierniewicki,łódzkie,1200,311
gm. Kowiesy,skierniewicki,łódzkie,1127,486
gm. Lipce Reymontowskie,skierniewicki,łódzkie,1560,472
gm. Maków,skierniewicki,łódzkie,2548,832
gm. Nowy Kawęczyn,skierniewicki,łódzkie,1365,557
gm. Skierniewice,skierniewicki,łódzkie,2775,1280
gm. Słupia,skierniewicki,łódzkie,1352,346
m. Tomaszów Mazowiecki,tomaszowski,łódzkie,16741,15197
gm. Będków,tomaszowski,łódzkie,1471,494
gm. Budziszewice,tomaszowski,łódzkie,915,333
gm. Czerniewice,tomaszowski,łódzkie,2281,654
gm. Inowłódz,tomaszowski,łódzkie,1486,1024
gm. Lubochnia,tomaszowski,łódzkie,3084,967
gm. Rokiciny,tomaszowski,łódzkie,2274,1198
gm. Rzeczyca,tomaszowski,łódzkie,2225,554
gm. Tomaszów Mazowiecki,tomaszowski,łódzkie,4054,2301
gm. Ujazd,tomaszowski,łódzkie,2752,1441
gm. Żelechlinek,tomaszowski,łódzkie,1517,335
gm. Biała,wieluński,łódzkie,2022,789
gm. Czarnożyły,wieluński,łódzkie,1687,745
gm. Konopnica,wieluński,łódzkie,1502,708
gm. Mokrsko,wieluński,łódzkie,1950,868
gm. Osjaków,wieluński,łódzkie,2008,768
gm. Ostrówek,wieluński,łódzkie,1682,662
gm. Pątnów,wieluński,łódzkie,2755,936
gm. Skomlin,wieluński,łódzkie,1113,561
gm. Wieluń,wieluński,łódzkie,8634,8022
gm. Wierzchlas,wieluński,łódzkie,2406,1225
gm. Bolesławiec,wieruszowski,łódzkie,1288,753
gm. Czastary,wieruszowski,łódzkie,1349,598
gm. Galewice,wieruszowski,łódzkie,2084,1033
gm. Lututów,wieruszowski,łódzkie,1725,688
gm. Łubnice,wieruszowski,łódzkie,1378,689
gm. Sokolniki,wieruszowski,łódzkie,1697,886
gm. Wieruszów,wieruszowski,łódzkie,4018,3393
m. Zduńska Wola,zduńskowolski,łódzkie,11345,9982
gm. Szadek,zduńskowolski,łódzkie,2701,1288
gm. Zapolice,zduńskowolski,łódzkie,1799,959
gm. Zduńska Wola,zduńskowolski,łódzkie,4099,2248
m. Głowno,zgierski,łódzkie,3484,4026
m. Ozorków,zgierski,łódzkie,5269,4627
m. Zgierz,zgierski,łódzkie,13393,16385
gm. Aleksandrów Łódzki,zgierski,łódzkie,7393,10494
gm. Głowno,zgierski,łódzkie,1929,679
gm. Ozorków,zgierski,łódzkie,2694,1538
gm. Parzęczew,zgierski,łódzkie,1730,1246
gm. Stryków,zgierski,łódzkie,3835,3540
gm. Zgierz,zgierski,łódzkie,4294,4390
m. Brzeziny,brzeziński,łódzkie,3661,2867
gm. Brzeziny,brzeziński,łódzkie,2031,1203
gm. Dmosin,brzeziński,łódzkie,1643,867
gm. Jeżów,brzeziński,łódzkie,1456,525
gm. Rogów,brzeziński,łódzkie,1769,886
m. Łódź,Łódź,łódzkie,129082,227780
m. Piotrków Trybunalski,Piotrków Trybunalski,łódzkie,19494,18717
m. Skierniewice,Skierniewice,łódzkie,12556,13306
m. Bochnia,bocheński,małopolskie,8900,7122
gm. Bochnia,bocheński,małopolskie,7890,3017
gm. Drwinia,bocheński,małopolskie,3009,702
gm. Lipnica Murowana,bocheński,małopolskie,2589,565
gm. Łapanów,bocheński,małopolskie,3481,1031
gm. Nowy Wiśnicz,bocheński,małopolskie,6295,1942
gm. Rzezawa,bocheński,małopolskie,4578,1375
gm. Trzciana,bocheński,małopolskie,2728,644
gm. Żegocina,bocheński,małopolskie,2802,466
gm. Borzęcin,brzeski,małopolskie,3147,905
gm. Brzesko,brzeski,małopolskie,12038,6415
gm. Czchów,brzeski,małopolskie,3965,1283
gm. Dębno,brzeski,małopolskie,5530,2099
gm. Gnojnik,brzeski,małopolskie,3460,728
gm. Iwkowa,brzeski,małopolskie,3181,564
gm. Szczurowa,brzeski,małopolskie,3696,967
gm. Alwernia,chrzanowski,małopolskie,4179,2805
gm. Babice,chrzanowski,małopolskie,2988,2028
gm. Chrzanów,chrzanowski,małopolskie,10875,13338
gm. Libiąż,chrzanowski,małopolskie,6733,5168
gm. Trzebinia,chrzanowski,małopolskie,8672,9141
gm. Bolesław,dąbrowski,małopolskie,844,237
gm. Dąbrowa Tarnowska,dąbrowski,małopolskie,7844,2516
gm. Gręboszów,dąbrowski,małopolskie,1156,313
gm. Mędrzechów,dąbrowski,małopolskie,1261,333
gm. Olesno,dąbrowski,małopolskie,3081,664
gm. Radgoszcz,dąbrowski,małopolskie,3379,402
gm. Szczucin,dąbrowski,małopolskie,4799,1424
m. Gorlice,gorlicki,małopolskie,7844,6107
gm. Biecz,gorlicki,małopolskie,6610,2026
gm. Bobowa,gorlicki,małopolskie,4159,847
gm. Gorlice,gorlicki,małopolskie,6502,2497
gm. Lipinki,gorlicki,małopolskie,2834,718
gm. Łużna,gorlicki,małopolskie,3347,967
gm. Moszczenica,gorlicki,małopolskie,2094,436
gm. Ropa,gorlicki,małopolskie,2327,612
gm. Sękowa,gorlicki,małopolskie,1665,964
gm. Uście Gorlickie,gorlicki,małopolskie,2350,1659
gm. Czernichów,krakowski,małopolskie,5116,2904
gm. Igołomia-Wawrzeńczyce,krakowski,małopolskie,2914,1037
gm. Iwanowice,krakowski,małopolskie,3613,1549
gm. Jerzmanowice-Przeginia,krakowski,małopolskie,4525,1926
gm. Kocmyrzów-Luborzyca,krakowski,małopolskie,5244,3362
gm. Krzeszowice,krakowski,małopolskie,9766,7910
gm. Liszki,krakowski,małopolskie,6451,3356
gm. Michałowice,krakowski,małopolskie,3221,2950
gm. Mogilany,krakowski,małopolskie,4370,3838
gm. Skała,krakowski,małopolskie,3906,2176
gm. Skawina,krakowski,małopolskie,13159,10075
gm. Słomniki,krakowski,małopolskie,5191,2084
gm. Sułoszowa,krakowski,małopolskie,2850,734
gm. Świątniki Górne,krakowski,małopolskie,3427,2259
gm. Wielka Wieś,krakowski,małopolskie,3932,3850
gm. Zabierzów,krakowski,małopolskie,7744,8268
gm. Zielonki,krakowski,małopolskie,5581,7230
m. Limanowa,limanowski,małopolskie,5548,2610
m. Mszana Dolna,limanowski,małopolskie,2861,1389
gm. Dobra,limanowski,małopolskie,3934,1231
gm. Jodłownik,limanowski,małopolskie,3830,777
gm. Kamienica,limanowski,małopolskie,3520,728
gm. Laskowa,limanowski,małopolskie,4245,591
gm. Limanowa,limanowski,małopolskie,11656,2381
gm. Łukowica,limanowski,małopolskie,4608,799
gm. Mszana Dolna,limanowski,małopolskie,7887,1580
gm. Niedźwiedź,limanowski,małopolskie,2878,622
gm. Słopnice,limanowski,małopolskie,3108,460
gm. Tymbark,limanowski,małopolskie,2928,671
gm. Charsznica,miechowski,małopolskie,2853,1113
gm. Gołcza,miechowski,małopolskie,2482,875
gm. Kozłów,miechowski,małopolskie,2034,507
gm. Książ Wielki,miechowski,małopolskie,2156,680
gm. Miechów,miechowski,małopolskie,6485,3705
gm. Racławice,miechowski,małopolskie,1040,267
gm. Słaboszów,miechowski,małopolskie,1393,428
gm. Dobczyce,myślenicki,małopolskie,5581,2750
gm. Lubień,myślenicki,małopolskie,4345,1102
gm. Myślenice,myślenicki,małopolskie,15816,9022
gm. Pcim,myślenicki,małopolskie,4880,1448
gm. Raciechowice,myślenicki,małopolskie,2633,877
gm. Siepraw,myślenicki,małopolskie,3433,1573
gm. Sułkowice,myślenicki,małopolskie,5538,2371
gm. Tokarnia,myślenicki,małopolskie,4144,863
gm. Wiśniowa,myślenicki,małopolskie,3609,728
m. Grybów,nowosądecki,małopolskie,2631,815
gm. Chełmiec,nowosądecki,małopolskie,12151,3224
gm. Gródek nad Dunajcem,nowosądecki,małopolskie,4263,1106
gm. Grybów,nowosądecki,małopolskie,12259,1892
gm. Kamionka Wielka,nowosądecki,małopolskie,4752,971
gm. Korzenna,nowosądecki,małopolskie,7030,1024
gm. Krynica-Zdrój,nowosądecki,małopolskie,6387,4484
gm. Łabowa,nowosądecki,małopolskie,2583,491
gm. Łącko,nowosądecki,małopolskie,7247,1447
gm. Łososina Dolna,nowosądecki,małopolskie,5466,878
gm. Muszyna,nowosądecki,małopolskie,4293,2185
gm. Nawojowa,nowosądecki,małopolskie,3803,812
gm. Piwniczna-Zdrój,nowosądecki,małopolskie,4427,1550
gm. Podegrodzie,nowosądecki,małopolskie,6035,1056
gm. Rytro,nowosądecki,małopolskie,1659,474
gm. Stary Sącz,nowosądecki,małopolskie,9955,2899
m. Nowy Targ,nowotarski,małopolskie,9310,7143
gm. Szczawnica,nowotarski,małopolskie,2836,2551
gm. Czarny Dunajec,nowotarski,małopolskie,7847,1669
gm. Czorsztyn,nowotarski,małopolskie,2858,1723
gm. Jabłonka,nowotarski,małopolskie,8399,1208
gm. Krościenko nad Dunajcem,nowotarski,małopolskie,2734,1397
gm. Lipnica Wielka,nowotarski,małopolskie,2641,411
gm. Łapsze Niżne,nowotarski,małopolskie,3590,1229
gm. Nowy Targ,nowotarski,małopolskie,8716,2658
gm. Ochotnica Dolna,nowotarski,małopolskie,4008,867
gm. Raba Wyżna,nowotarski,małopolskie,5540,1529
gm. Rabka-Zdrój,nowotarski,małopolskie,6327,3145
gm. Spytkowice,nowotarski,małopolskie,1978,474
gm. Szaflary,nowotarski,małopolskie,4064,821
m. Bukowno,olkuski,małopolskie,2614,2630
gm. Bolesław,olkuski,małopolskie,2059,1948
gm. Klucze,olkuski,małopolskie,4447,3986
gm. Olkusz,olkuski,małopolskie,15038,11652
gm. Trzyciąż,olkuski,małopolskie,3211,894
gm. Wolbrom,olkuski,małopolskie,8445,4141
m. Oświęcim,oświęcimski,małopolskie,9189,10838
gm. Brzeszcze,oświęcimski,małopolskie,6534,5086
gm. Chełmek,oświęcimski,małopolskie,3728,3035
gm. Kęty,oświęcimski,małopolskie,10372,7807
gm. Osiek,oświęcimski,małopolskie,2989,1453
gm. Oświęcim,oświęcimski,małopolskie,5773,4850
gm. Polanka Wielka,oświęcimski,małopolskie,1592,952
gm. Przeciszów,oświęcimski,małopolskie,2212,1493
gm. Zator,oświęcimski,małopolskie,3138,2012
gm. Koniusza,proszowicki,małopolskie,3533,1112
gm. Koszyce,proszowicki,małopolskie,1982,618
gm. Nowe Brzesko,proszowicki,małopolskie,2263,743
gm. Pałecznica,proszowicki,małopolskie,1583,354
gm. Proszowice,proszowicki,małopolskie,5803,2648
gm. Radziemice,proszowicki,małopolskie,1438,320
m. Jordanów,suski,małopolskie,1725,1051
m. Sucha Beskidzka,suski,małopolskie,2565,2412
gm. Budzów,suski,małopolskie,3405,1109
gm. Bystra-Sidzina,suski,małopolskie,2606,780
gm. Jordanów,suski,małopolskie,4599,1085
gm. Maków Podhalański,suski,małopolskie,5796,2724
gm. Stryszawa,suski,małopolskie,4805,2061
gm. Zawoja,suski,małopolskie,3446,1774
gm. Zembrzyce,suski,małopolskie,2108,1052
gm. Ciężkowice,tarnowski,małopolskie,4251,1393
gm. Gromnik,tarnowski,małopolskie,3849,576
gm. Lisia Góra,tarnowski,małopolskie,6048,1870
gm. Pleśna,tarnowski,małopolskie,4749,1523
gm. Radłów,tarnowski,małopolskie,3564,1158
gm. Ryglice,tarnowski,małopolskie,4715,1215
gm. Rzepiennik Strzyżewski,tarnowski,małopolskie,3215,562
gm. Skrzyszów,tarnowski,małopolskie,5519,1867
gm. Tarnów,tarnowski,małopolskie,9164,4616
gm. Tuchów,tarnowski,małopolskie,7015,2063
gm. Wierzchosławice,tarnowski,małopolskie,3933,1727
gm. Wietrzychowice,tarnowski,małopolskie,1336,431
gm. Wojnicz,tarnowski,małopolskie,5147,1814
gm. Zakliczyn,tarnowski,małopolskie,5107,1487
gm. Żabno,tarnowski,małopolskie,6764,2439
gm. Szerzyny,tarnowski,małopolskie,3508,631
m. Zakopane,tatrzański,małopolskie,10684,10374
gm. Biały Dunajec,tatrzański,małopolskie,2982,807
gm. Bukowina Tatrzańska,tatrzański,małopolskie,5810,2232
gm. Kościelisko,tatrzański,małopolskie,3439,2131
gm. Poronin,tatrzański,małopolskie,5016,2238
gm. Andrychów,wadowicki,małopolskie,14034,9265
gm. Brzeźnica,wadowicki,małopolskie,3608,2078
gm. Kalwaria Zebrzydowska,wadowicki,małopolskie,6646,4130
gm. Lanckorona,wadowicki,małopolskie,2203,1107
gm. Mucharz,wadowicki,małopolskie,1497,844
gm. Spytkowice,wadowicki,małopolskie,3870,1615
gm. Stryszów,wadowicki,małopolskie,2496,1275
gm. Tomice,wadowicki,małopolskie,2655,1534
gm. Wadowice,wadowicki,małopolskie,11648,8771
gm. Wieprz,wadowicki,małopolskie,4684,2019
gm. Biskupice,wielicki,małopolskie,3922,1951
gm. Gdów,wielicki,małopolskie,6890,3102
gm. Kłaj,wielicki,małopolskie,3472,2519
gm. Niepołomice,wielicki,małopolskie,8733,7326
gm. Wieliczka,wielicki,małopolskie,16960,15907
m. Kraków,Kraków,małopolskie,169441,270305
m. Nowy Sącz,Nowy Sącz,małopolskie,26101,17466
m. Tarnów,Tarnów,małopolskie,28861,27361
gm. Białobrzegi,białobrzeski,mazowieckie,3831,2205
gm. Promna,białobrzeski,mazowieckie,2371,818
gm. Radzanów,białobrzeski,mazowieckie,1790,368
