Gmina,Powiat,Województwo,Robert BIEDROŃ,Krzysztof BOSAK,Andrzej Sebastian DUDA,Szymon Franciszek HOŁOWNIA,Marek JAKUBIAK,Władysław Marcin KOSINIAK-KAMYSZ,Mirosław Mariusz PIOTROWSKI,Paweł Jan TANAJNO,Rafał Kazimierz TRZASKOWSKI,Waldemar Włodzimierz WITKOWSKI,Stanisław Józef ŻÓŁTEK
m. Bełchatów,bełchatowski,łódzkie,670,2631,15181,3347,93,559,38,49,6406,53,95
gm. Bełchatów,bełchatowski,łódzkie,101,511,4021,704,22,137,3,9,897,9,8
gm. Drużbice,bełchatowski,łódzkie,51,162,1786,298,1,72,2,2,355,3,6
gm. Kleszczów,bełchatowski,łódzkie,56,370,1742,412,5,83,10,4,458,6,8
gm. Kluki,bełchatowski,łódzkie,42,164,1549,182,4,49,4,2,284,2,3
gm. Rusiec,bełchatowski,łódzkie,50,208,1809,282,9,94,2,6,338,2,4
gm. Szczerców,bełchatowski,łódzkie,56,371,2729,568,9,87,4,9,637,6,9
gm. Zelów,bełchatowski,łódzkie,153,460,4643,856,14,135,7,11,1047,15,23
m. Kutno,kutnowski,łódzkie,488,1174,10163,2416,24,427,20,20,7307,35,36
gm. Bedlno,kutnowski,łódzkie,36,178,1729,228,6,122,4,12,377,0,8
gm. Dąbrowice,kutnowski,łódzkie,8,41,640,90,0,34,0,1,114,3,1
gm. Krośniewice,kutnowski,łódzkie,95,178,2392,339,6,83,2,4,753,2,11
gm. Krzyżanów,kutnowski,łódzkie,19,100,1304,190,4,65,0,0,310,0,2
gm. Kutno,kutnowski,łódzkie,81,282,2413,442,5,116,3,4,866,5,10
gm. Łanięta,kutnowski,łódzkie,20,46,788,71,1,25,0,2,119,1,4
gm. Nowe Ostrowy,kutnowski,łódzkie,27,92,1034,174,0,45,2,2,283,1,1
gm. Oporów,kutnowski,łódzkie,18,68,894,70,2,46,0,1,140,2,3
gm. Strzelce,kutnowski,łódzkie,36,91,1282,140,2,62,0,1,285,1,2
gm. Żychlin,kutnowski,łódzkie,123,299,2785,526,4,124,1,7,1369,4,11
gm. Buczek,łaski,łódzkie,45,201,1530,324,9,87,3,7,463,1,3
gm. Łask,łaski,łódzkie,323,982,6487,2076,25,333,13,14,4162,19,34
gm. Sędziejowice,łaski,łódzkie,39,258,1946,341,13,137,8,6,563,2,5
gm. Widawa,łaski,łódzkie,59,267,2425,387,8,122,2,1,578,5,9
gm. Wodzierady,łaski,łódzkie,36,77,1010,296,3,84,2,5,478,1,5
m. Łęczyca,łęczycki,łódzkie,156,392,2752,917,11,153,6,17,2384,7,11
gm. Daszyna,łęczycki,łódzkie,23,96,1204,164,1,62,0,2,227,2,5
gm. Góra Świętej Małgorzaty,łęczycki,łódzkie,21,134,1535,153,8,55,6,3,236,3,6
gm. Grabów,łęczycki,łódzkie,24,145,1961,198,1,77,1,3,358,1,0
gm. Łęczyca,łęczycki,łódzkie,66,242,2821,452,6,150,4,2,746,3,12
gm. Piątek,łęczycki,łódzkie,35,165,2065,303,7,93,3,1,390,3,3
gm. Świnice Warckie,łęczycki,łódzkie,24,97,1221,191,3,69,1,6,255,4,4
gm. Witonia,łęczycki,łódzkie,29,103,1078,165,1,58,3,3,184,1,3
m. Łowicz,łowicki,łódzkie,343,1002,6813,1906,29,396,14,18,4449,10,51
gm. Bielawy,łowicki,łódzkie,42,164,1808,212,1,103,4,3,339,1,7
gm. Chąśno,łowicki,łódzkie,16,126,958,107,7,146,1,0,106,1,9
gm. Domaniewice,łowicki,łódzkie,34,175,1513,269,2,91,0,4,232,1,4
gm. Kiernozia,łowicki,łódzkie,16,93,1102,168,2,79,0,2,168,1,2
gm. Kocierzew Południowy,łowicki,łódzkie,12,137,1531,150,4,117,1,2,174,2,7
gm. Łowicz,łowicki,łódzkie,75,329,2383,486,7,192,1,12,539,1,14
gm. Łyszkowice,łowicki,łódzkie,45,250,2189,332,4,89,5,4,349,1,6
gm. Nieborów,łowicki,łódzkie,83,394,3066,604,6,151,2,10,780,7,12
gm. Zduny,łowicki,łódzkie,60,213,1711,265,10,292,1,5,405,5,5
gm. Andrespol,łódzki wschodni,łódzkie,184,545,3187,1228,18,149,7,17,2587,13,22
gm. Brójce,łódzki wschodni,łódzkie,62,241,1945,550,7,112,5,7,907,3,5
gm. Koluszki,łódzki wschodni,łódzkie,292,1008,5958,1715,26,278,14,15,3444,22,28
gm. Nowosolna,łódzki wschodni,łódzkie,73,195,1048,515,5,70,2,2,1206,12,11
gm. Rzgów,łódzki wschodni,łódzkie,97,451,2728,757,12,162,3,15,1699,3,14
gm. Tuszyn,łódzki wschodni,łódzkie,160,461,3163,910,6,124,10,9,1851,9,10
gm. Białaczów,opoczyński,łódzkie,31,171,2129,269,2,99,1,3,309,2,4
gm. Drzewica,opoczyński,łódzkie,66,322,3988,427,9,154,5,7,609,4,9
gm. Mniszków,opoczyński,łódzkie,32,129,1825,197,1,90,4,7,249,1,3
gm. Opoczno,opoczyński,łódzkie,235,1200,10782,2611,29,438,35,21,2860,28,33
gm. Paradyż,opoczyński,łódzkie,10,157,1894,149,7,85,2,3,141,1,4
gm. Poświętne,opoczyński,łódzkie,12,133,1315,132,3,71,0,2,184,0,5
gm. Sławno,opoczyński,łódzkie,21,293,2899,404,6,134,2,4,284,2,6
gm. Żarnów,opoczyński,łódzkie,34,202,2141,288,4,80,1,5,374,2,6
m. Konstantynów Łódzki,pabianicki,łódzkie,231,633,3676,1446,20,208,13,12,3539,20,16
m. Pabianice,pabianicki,łódzkie,950,1820,12492,4638,50,505,34,43,11870,52,69
gm. Dłutów,pabianicki,łódzkie,39,139,1342,304,2,65,3,3,603,4,6
gm. Dobroń,pabianicki,łódzkie,76,212,1929,587,5,136,74,2,1212,8,9
gm. Ksawerów,pabianicki,łódzkie,91,312,1610,674,8,86,3,7,1487,8,15
gm. Lutomiersk,pabianicki,łódzkie,119,282,2026,639,8,165,3,8,1442,2,7
gm. Pabianice,pabianicki,łódzkie,95,266,1881,639,10,139,4,14,1176,12,13
gm. Działoszyn,pajęczański,łódzkie,139,361,3408,786,13,138,3,11,1307,5,11
gm. Kiełczygłów,pajęczański,łódzkie,39,121,1550,192,3,58,1,2,208,2,4
gm. Nowa Brzeźnica,pajęczański,łódzkie,32,145,1404,273,2,79,1,3,398,1,6
gm. Pajęczno,pajęczański,łódzkie,114,362,3147,718,11,135,7,10,1245,5,12
gm. Rząśnia,pajęczański,łódzkie,29,190,1807,177,8,47,2,1,325,0,2
gm. Siemkowice,pajęczański,łódzkie,46,149,1574,262,4,107,3,1,235,0,11
gm. Strzelce Wielkie,pajęczański,łódzkie,32,138,1608,182,5,54,4,3,269,1,2
gm. Sulmierzyce,pajęczański,łódzkie,38,164,1642,217,5,64,4,2,303,0,4
gm. Aleksandrów,piotrkowski,łódzkie,35,123,1699,155,1,84,2,1,299,3,6
gm. Czarnocin,piotrkowski,łódzkie,23,181,1366,193,7,76,1,4,285,2,5
gm. Gorzkowice,piotrkowski,łódzkie,66,277,2925,429,9,115,2,6,510,3,7
gm. Grabica,piotrkowski,łódzkie,42,164,2188,299,7,127,2,1,307,3,6
gm. Łęki Szlacheckie,piotrkowski,łódzkie,15,100,1182,130,2,55,2,1,176,1,0
gm. Moszczenica,piotrkowski,łódzkie,109,520,4161,682,11,175,14,10,997,6,13
gm. Ręczno,piotrkowski,łódzkie,25,109,1232,153,2,85,2,2,294,0,0
gm. Rozprza,piotrkowski,łódzkie,98,397,4082,614,15,196,7,3,723,10,13
gm. Sulejów,piotrkowski,łódzkie,130,584,4817,1103,19,205,5,18,1652,6,22
gm. Wola Krzysztoporska,piotrkowski,łódzkie,74,384,4331,632,7,139,9,5,645,2,19
gm. Wolbórz,piotrkowski,łódzkie,49,397,2535,490,9,142,8,3,786,3,8
gm. Dalików,poddębicki,łódzkie,23,94,1196,232,3,100,1,2,380,0,2
gm. Pęczniew,poddębicki,łódzkie,28,83,1138,187,6,53,1,2,386,0,2
gm. Poddębice,poddębicki,łódzkie,124,385,3819,1129,8,383,11,9,1924,10,21
gm. Uniejów,poddębicki,łódzkie,73,175,2322,442,8,104,3,7,683,3,4
gm. Wartkowice,poddębicki,łódzkie,49,168,1811,389,7,108,3,3,349,4,2
gm. Zadzim,poddębicki,łódzkie,32,124,1513,296,5,149,3,2,376,1,8
m. Radomsko,radomszczański,łódzkie,546,1233,10475,2764,30,462,28,42,7135,26,48
gm. Dobryszyce,radomszczański,łódzkie,41,121,1291,262,7,41,0,6,424,1,3
gm. Gidle,radomszczański,łódzkie,41,221,1663,336,5,99,4,6,550,4,11
gm. Gomunice,radomszczański,łódzkie,61,221,1756,369,8,83,3,3,565,2,9
gm. Kamieńsk,radomszczański,łódzkie,48,247,2081,285,3,56,2,2,391,2,6
gm. Kobiele Wielkie,radomszczański,łódzkie,51,131,1256,189,2,70,3,3,392,1,12
gm. Kodrąb,radomszczański,łódzkie,38,90,1376,200,0,111,0,2,349,5,5
gm. Lgota Wielka,radomszczański,łódzkie,32,163,1359,257,7,62,4,4,270,4,8
gm. Ładzice,radomszczański,łódzkie,34,87,1375,279,3,55,3,3,367,2,2
gm. Masłowice,radomszczański,łódzkie,25,114,1456,155,4,71,3,1,255,2,3
gm. Przedbórz,radomszczański,łódzkie,52,214,2233,331,7,107,5,2,542,4,11
gm. Radomsko,radomszczański,łódzkie,64,175,1510,308,5,78,1,6,562,0,8
gm. Wielgomłyny,radomszczański,łódzkie,33,107,1498,180,3,99,2,2,235,0,6
gm. Żytno,radomszczański,łódzkie,43,116,1702,217,6,46,5,5,311,1,5
m. Rawa Mazowiecka,rawski,łódzkie,159,609,4397,1144,19,229,8,13,2390,12,24
gm. Biała Rawska,rawski,łódzkie,69,409,3316,528,14,302,8,4,726,2,9
gm. Cielądz,rawski,łódzkie,17,109,1425,119,2,75,1,3,145,2,1
gm. Rawa Mazowiecka,rawski,łódzkie,45,290,2787,411,6,169,7,2,555,2,8
gm. Regnów,rawski,łódzkie,5,47,684,79,1,71,3,1,69,0,4
gm. Sadkowice,rawski,łódzkie,23,175,1815,196,12,127,3,5,212,1,9
m. Sieradz,sieradzki,łódzkie,583,1309,9425,2977,32,512,21,24,6688,35,60
gm. Błaszki,sieradzki,łódzkie,97,400,4648,497,12,389,11,3,897,5,17
gm. Brąszewice,sieradzki,łódzkie,20,161,1564,168,5,64,0,4,166,2,13
gm. Brzeźnio,sieradzki,łódzkie,39,189,1776,414,5,177,0,2,475,2,6
gm. Burzenin,sieradzki,łódzkie,58,174,1547,299,3,108,3,3,447,2,8
gm. Goszczanów,sieradzki,łódzkie,30,163,1755,215,4,108,3,3,271,3,7
gm. Klonowa,sieradzki,łódzkie,14,67,993,116,1,69,0,4,148,2,3
gm. Sieradz,sieradzki,łódzkie,92,343,3280,615,7,122,5,12,943,5,15
gm. Warta,sieradzki,łódzkie,81,348,3917,680,7,228,7,6,909,4,7
gm. Wróblew,sieradzki,łódzkie,60,157,1949,286,9,142,3,4,339,4,5
gm. Złoczew,sieradzki,łódzkie,52,214,2216,359,7,120,7,8,478,3,10
gm. Bolimów,skierniewicki,łódzkie,32,164,1182,234,2,79,1,2,335,5,3
gm. Głuchów,skierniewicki,łódzkie,23,218,2506,210,9,153,4,2,197,2,9
gm. Godzianów,skierniewicki,łódzkie,19,98,988,177,3,56,1,3,106,0,2
gm. Kowiesy,skierniewicki,łódzkie,23,113,875,161,6,89,2,1,239,1,2
gm. Lipce Reymontowskie,skierniewicki,łódzkie,14,88,1254,201,1,62,0,1,219,1,2
gm. Maków,skierniewicki,łódzkie,40,260,2070,395,8,102,0,7,387,8,9
gm. Nowy Kawęczyn,skierniewicki,łódzkie,28,137,1101,188,4,61,0,4,265,1,1
gm. Skierniewice,skierniewicki,łódzkie,57,248,2262,502,9,96,2,5,622,2,7
gm. Słupia,skierniewicki,łódzkie,17,80,1002,119,4,62,1,1,109,1,3
m. Tomaszów Mazowiecki,tomaszowski,łódzkie,725,1908,13779,4170,50,629,49,30,9278,37,72
gm. Będków,tomaszowski,łódzkie,27,185,1152,146,1,51,1,2,241,2,11
gm. Budziszewice,tomaszowski,łódzkie,14,91,744,87,5,34,1,0,188,0,4
gm. Czerniewice,tomaszowski,łódzkie,23,122,1794,215,2,106,3,1,312,1,3
gm. Inowłódz,tomaszowski,łódzkie,51,126,1198,195,1,71,3,0,527,4,1
gm. Lubochnia,tomaszowski,łódzkie,43,289,2483,342,4,149,2,2,459,3,5
gm. Rokiciny,tomaszowski,łódzkie,51,237,1928,366,2,96,2,4,611,6,12
gm. Rzeczyca,tomaszowski,łódzkie,28,137,1778,176,2,101,0,2,217,1,3
gm. Tomaszów Mazowiecki,tomaszowski,łódzkie,72,415,3290,779,15,174,10,4,1186,5,13
gm. Ujazd,tomaszowski,łódzkie,83,356,2238,507,6,112,2,7,726,4,11
gm. Żelechlinek,tomaszowski,łódzkie,13,95,1223,76,1,177,2,1,115,1,1
gm. Biała,wieluński,łódzkie,41,175,1667,351,4,113,0,3,310,2,3
gm. Czarnożyły,wieluński,łódzkie,38,141,1387,282,7,107,0,3,336,0,2
gm. Konopnica,wieluński,łódzkie,25,130,1214,230,3,73,0,6,369,1,5
gm. Mokrsko,wieluński,łódzkie,40,196,1604,392,3,80,1,2,425,3,9
gm. Osjaków,wieluński,łódzkie,20,167,1595,309,2,107,3,2,318,0,3
gm. Ostrówek,wieluński,łódzkie,25,117,1373,218,3,92,2,0,332,2,6
gm. Pątnów,wieluński,łódzkie,37,166,2283,428,6,108,1,2,398,2,10
gm. Skomlin,wieluński,łódzkie,23,136,899,209,1,97,2,3,253,4,3
gm. Wieluń,wieluński,łódzkie,365,918,7174,2260,33,440,14,22,4761,23,34
gm. Wierzchlas,wieluński,łódzkie,61,201,1844,476,7,144,2,1,591,2,7
gm. Bolesławiec,wieruszowski,łódzkie,22,168,985,252,1,86,1,3,342,4,1
gm. Czastary,wieruszowski,łódzkie,30,125,1106,280,8,85,1,4,258,0,4
gm. Galewice,wieruszowski,łódzkie,45,242,1652,387,4,74,2,2,475,3,7
gm. Lututów,wieruszowski,łódzkie,42,149,1402,250,2,103,7,2,307,0,3
gm. Łubnice,wieruszowski,łódzkie,23,142,1153,262,3,147,0,1,279,0,5
gm. Sokolniki,wieruszowski,łódzkie,26,184,1403,298,3,85,3,4,440,3,4
gm. Wieruszów,wieruszowski,łódzkie,141,492,3250,1072,12,197,8,5,1971,3,11
m. Zduńska Wola,zduńskowolski,łódzkie,549,1294,9544,2924,33,348,18,38,6101,32,45
gm. Szadek,zduńskowolski,łódzkie,66,225,2129,459,4,126,5,6,698,8,12
gm. Zapolice,zduńskowolski,łódzkie,49,142,1493,322,1,66,6,0,505,5,5
gm. Zduńska Wola,zduńskowolski,łódzkie,123,366,3368,949,18,187,6,14,1103,8,10
m. Głowno,zgierski,łódzkie,175,327,2888,1079,14,138,7,8,2475,13,27
m. Ozorków,zgierski,łódzkie,206,634,4332,1250,7,203,6,15,2784,8,25
m. Zgierz,zgierski,łódzkie,822,1582,11273,4259,37,567,26,41,10354,37,72
gm. Aleksandrów Łódzki,zgierski,łódzkie,454,1016,6108,2791,26,333,11,26,6555,34,31
gm. Głowno,zgierski,łódzkie,45,151,1555,278,3,80,1,1,322,3,3
gm. Ozorków,zgierski,łódzkie,77,251,2199,410,8,108,0,4,893,4,8
gm. Parzęczew,zgierski,łódzkie,49,206,1337,385,8,89,1,7,711,1,3
gm. Stryków,zgierski,łódzkie,148,476,3127,1002,14,203,10,5,2036,9,22
gm. Zgierz,zgierski,łódzkie,161,422,3499,1142,15,191,2,12,2658,11,16
m. Brzeziny,brzeziński,łódzkie,111,386,3046,915,9,149,7,11,1706,9,18
gm. Brzeziny,brzeziński,łódzkie,47,202,1679,398,10,134,2,3,594,2,4
gm. Dmosin,brzeziński,łódzkie,43,122,1343,228,5,146,4,5,425,3,4
gm. Jeżów,brzeziński,łódzkie,14,100,1156,172,3,121,5,5,217,2,7
gm. Rogów,brzeziński,łódzkie,43,171,1425,320,2,87,2,0,424,4,3
m. Łódź,Łódź,łódzkie,11259,19790,107557,50967,545,5837,315,607,152376,632,869
m. Piotrków Trybunalski,Piotrków Trybunalski,łódzkie,944,2190,16078,5360,72,672,48,50,11453,52,69
m. Skierniewice,Skierniewice,łódzkie,587,1551,10278,4005,42,581,45,40,8104,38,67
m. Bochnia,bocheński,małopolskie,314,1168,7368,2034,28,478,21,10,4161,17,36
gm. Bochnia,bocheński,małopolskie,116,846,6642,1071,20,393,6,14,1393,9,21
gm. Drwinia,bocheński,małopolskie,31,273,2576,252,12,115,4,5,302,5,2
gm. Lipnica Murowana,bocheński,małopolskie,21,204,2156,170,5,132,1,1,241,5,6
gm. Łapanów,bocheński,małopolskie,34,330,2856,338,8,238,6,7,450,1,15
gm. Nowy Wiśnicz,bocheński,małopolskie,87,575,5316,587,14,268,4,12,971,7,11
gm. Rzezawa,bocheński,małopolskie,62,553,3829,526,13,142,9,3,677,3,14
gm. Trzciana,bocheński,małopolskie,20,230,2281,201,8,137,0,5,241,2,11
gm. Żegocina,bocheński,małopolskie,12,244,2449,157,5,82,3,1,204,2,5
gm. Borzęcin,brzeski,małopolskie,39,416,2596,281,5,137,4,5,409,3,8
gm. Brzesko,brzeski,małopolskie,282,1757,9888,1934,26,732,23,16,3505,16,38
gm. Czchów,brzeski,małopolskie,45,359,3261,386,14,192,6,6,596,1,12
gm. Dębno,brzeski,małopolskie,105,812,4502,786,8,298,9,10,897,5,21
gm. Gnojnik,brzeski,małopolskie,9,398,2843,289,3,120,5,3,306,1,2
gm. Iwkowa,brzeski,małopolskie,16,284,2613,168,2,170,1,1,209,0,4
gm. Szczurowa,brzeski,małopolskie,43,339,2926,301,9,202,5,2,430,0,6
gm. Alwernia,chrzanowski,małopolskie,123,443,3417,877,17,172,3,7,1598,2,18
gm. Babice,chrzanowski,małopolskie,75,398,2481,689,13,156,4,5,1073,3,9
gm. Chrzanów,chrzanowski,małopolskie,633,1475,9074,3311,35,501,25,37,8357,33,67
gm. Libiąż,chrzanowski,małopolskie,250,845,5568,1505,14,235,12,20,3124,15,30
gm. Trzebinia,chrzanowski,małopolskie,358,1251,7123,2635,28,384,15,28,5510,18,47
gm. Bolesław,dąbrowski,małopolskie,10,71,678,53,2,107,0,0,76,0,2
gm. Dąbrowa Tarnowska,dąbrowski,małopolskie,95,710,6499,672,21,480,5,8,1282,7,23
gm. Gręboszów,dąbrowski,małopolskie,7,82,965,57,2,203,1,0,95,1,0
gm. Mędrzechów,dąbrowski,małopolskie,18,123,1011,85,2,114,2,2,130,2,1
gm. Olesno,dąbrowski,małopolskie,26,246,2585,239,5,158,2,2,273,1,6
gm. Radgoszcz,dąbrowski,małopolskie,19,227,2828,137,6,136,1,1,169,0,8
gm. Szczucin,dąbrowski,małopolskie,68,395,3952,488,6,238,3,2,650,7,10
m. Gorlice,gorlicki,małopolskie,227,968,6510,1509,19,331,14,17,3822,13,24
gm. Biecz,gorlicki,małopolskie,101,611,5382,658,13,211,12,8,1009,11,15
gm. Bobowa,gorlicki,małopolskie,19,415,3471,344,2,120,6,6,411,1,8
gm. Gorlice,gorlicki,małopolskie,78,722,5404,895,7,242,12,12,1289,6,24
gm. Lipinki,gorlicki,małopolskie,33,216,2355,289,9,83,2,6,359,1,7
gm. Łużna,gorlicki,małopolskie,42,367,2743,318,5,160,4,6,446,2,8
gm. Moszczenica,gorlicki,małopolskie,16,217,1662,175,5,77,0,2,173,1,5
gm. Ropa,gorlicki,małopolskie,23,194,1903,253,2,82,7,4,257,2,7
gm. Sękowa,gorlicki,małopolskie,41,174,1344,314,7,100,3,1,497,2,1
gm. Uście Gorlickie,gorlicki,małopolskie,54,280,1763,460,3,118,5,3,704,2,8
gm. Czernichów,krakowski,małopolskie,131,636,4125,927,16,245,10,10,1582,11,29
gm. Igołomia-Wawrzeńczyce,krakowski,małopolskie,41,197,2372,327,8,148,2,6,523,1,11
gm. Iwanowice,krakowski,małopolskie,57,363,3014,512,9,148,4,5,787,4,12
gm. Jerzmanowice-Przeginia,krakowski,małopolskie,79,504,3705,672,13,199,9,8,943,7,9
gm. Kocmyrzów-Luborzyca,krakowski,małopolskie,126,626,4231,948,17,308,6,5,1920,8,27
gm. Krzeszowice,krakowski,małopolskie,338,1190,8005,2242,48,515,17,25,4629,27,46
gm. Liszki,krakowski,małopolskie,132,764,5305,1008,20,296,6,9,1817,10,20
gm. Michałowice,krakowski,małopolskie,117,428,2605,793,10,205,7,6,1757,8,16
gm. Mogilany,krakowski,małopolskie,118,633,3585,1097,16,215,10,10,2315,13,21
gm. Skała,krakowski,małopolskie,108,402,3190,744,6,200,5,7,1095,7,12
gm. Skawina,krakowski,małopolskie,445,1826,10761,3399,36,597,28,30,5496,35,64
gm. Słomniki,krakowski,małopolskie,96,554,4196,691,20,234,4,9,1076,6,24
gm. Sułoszowa,krakowski,małopolskie,28,209,2320,215,5,206,1,1,309,7,6
gm. Świątniki Górne,krakowski,małopolskie,76,464,2867,687,4,138,3,6,1312,4,12
gm. Wielka Wieś,krakowski,małopolskie,139,575,3152,1129,11,247,5,13,2176,11,25
gm. Zabierzów,krakowski,małopolskie,328,1161,6507,2192,22,421,12,12,5118,32,57
gm. Zielonki,krakowski,małopolskie,305,941,4548,1942,22,381,11,14,4475,21,44
m. Limanowa,limanowski,małopolskie,96,683,4663,692,15,275,6,5,1569,7,24
m. Mszana Dolna,limanowski,małopolskie,56,296,2385,439,12,102,3,10,746,1,12
gm. Dobra,limanowski,małopolskie,60,429,3324,332,4,129,3,4,558,3,16
gm. Jodłownik,limanowski,małopolskie,21,267,3134,253,7,134,3,4,390,3,14
gm. Kamienica,limanowski,małopolskie,29,304,2949,194,3,73,5,1,343,3,4
gm. Laskowa,limanowski,małopolskie,40,357,3573,215,1,87,9,3,238,2,5
gm. Limanowa,limanowski,małopolskie,106,970,9919,789,15,395,7,13,1113,4,25
gm. Łukowica,limanowski,małopolskie,33,390,3908,297,6,166,6,6,358,3,11
gm. Mszana Dolna,limanowski,małopolskie,76,646,6685,509,14,181,2,2,671,5,23
gm. Niedźwiedź,limanowski,małopolskie,22,236,2368,185,3,72,1,1,295,2,8
gm. Słopnice,limanowski,małopolskie,14,344,2601,198,4,64,5,2,185,3,3
gm. Tymbark,limanowski,małopolskie,30,281,2537,255,7,75,4,4,318,3,12
gm. Charsznica,miechowski,małopolskie,64,240,2369,330,9,218,3,5,495,2,7
gm. Gołcza,miechowski,małopolskie,42,189,2037,301,7,215,3,0,381,0,6
gm. Kozłów,miechowski,małopolskie,26,132,1625,149,3,64,2,3,246,1,15
gm. Książ Wielki,miechowski,małopolskie,47,138,1763,188,5,96,2,2,334,6,0
gm. Miechów,miechowski,małopolskie,178,662,5227,982,34,420,13,6,2183,13,26
gm. Racławice,miechowski,małopolskie,14,51,821,68,4,81,3,2,135,1,1
gm. Słaboszów,miechowski,małopolskie,22,76,1108,99,6,127,4,0,163,2,5
gm. Dobczyce,myślenicki,małopolskie,128,941,4448,940,14,227,9,9,1394,9,22
gm. Lubień,myślenicki,małopolskie,35,466,3748,399,6,89,6,8,493,7,18
gm. Myślenice,myślenicki,małopolskie,289,2060,13108,2761,72,645,31,27,5102,34,62
gm. Pcim,myślenicki,małopolskie,57,481,4209,497,10,134,5,6,730,4,15
gm. Raciechowice,myślenicki,małopolskie,30,224,2128,290,8,118,1,5,445,1,10
gm. Siepraw,myślenicki,małopolskie,70,439,2825,485,11,136,9,3,854,4,20
gm. Sułkowice,myślenicki,małopolskie,88,709,4602,805,11,170,3,3,1191,5,19
gm. Tokarnia,myślenicki,małopolskie,42,339,3530,329,9,104,2,0,392,1,15
gm. Wiśniowa,myślenicki,małopolskie,24,365,3051,239,8,96,4,3,375,1,9
m. Grybów,nowosądecki,małopolskie,43,297,2200,253,4,79,4,2,403,0,5
gm. Chełmiec,nowosądecki,małopolskie,158,1312,10401,1013,26,303,14,10,1768,5,36
gm. Gródek nad Dunajcem,nowosądecki,małopolskie,34,305,3472,310,5,124,4,6,485,2,8
gm. Grybów,nowosądecki,małopolskie,81,1261,10519,685,16,215,14,8,867,8,16
gm. Kamionka Wielka,nowosądecki,małopolskie,45,515,4037,367,22,104,8,1,460,2,3
gm. Korzenna,nowosądecki,małopolskie,49,507,6019,372,10,173,7,5,453,2,12
gm. Krynica-Zdrój,nowosądecki,małopolskie,119,621,4692,1040,8,271,13,9,2135,9,28
gm. Łabowa,nowosądecki,małopolskie,22,189,2209,161,7,59,0,1,270,0,8
gm. Łącko,nowosądecki,małopolskie,71,734,6299,379,14,201,8,3,711,6,17
gm. Łososina Dolna,nowosądecki,małopolskie,39,427,4620,324,10,108,6,2,336,5,5
gm. Muszyna,nowosądecki,małopolskie,64,441,3478,674,13,135,11,9,1061,2,6
gm. Nawojowa,nowosądecki,małopolskie,37,288,3256,228,6,90,7,3,489,1,10
gm. Piwniczna-Zdrój,nowosądecki,małopolskie,46,352,3599,471,9,106,2,1,715,2,9
gm. Podegrodzie,nowosądecki,małopolskie,72,570,5247,385,8,141,5,7,478,2,16
gm. Rytro,nowosądecki,małopolskie,23,129,1401,167,1,33,2,0,206,1,1
gm. Stary Sącz,nowosądecki,małopolskie,104,1084,8661,857,26,223,18,8,1642,7,14
m. Nowy Targ,nowotarski,małopolskie,281,1420,7582,2057,39,349,18,27,4222,18,47
gm. Szczawnica,nowotarski,małopolskie,61,337,1905,535,5,110,2,4,1086,5,5
gm. Czarny Dunajec,nowotarski,małopolskie,61,843,6593,503,9,124,5,6,822,6,18
gm. Czorsztyn,nowotarski,małopolskie,46,399,2217,406,12,121,2,5,675,5,11
gm. Jabłonka,nowotarski,małopolskie,51,991,7003,494,10,98,8,6,531,3,12
gm. Krościenko nad Dunajcem,nowotarski,małopolskie,51,260,2187,381,3,72,11,9,613,2,5
gm. Lipnica Wielka,nowotarski,małopolskie,15,283,2196,149,4,40,1,1,194,0,2
gm. Łapsze Niżne,nowotarski,małopolskie,45,392,2892,331,9,91,9,2,466,3,7
gm. Nowy Targ,nowotarski,małopolskie,77,965,7226,1084,10,235,9,12,1311,9,23
gm. Ochotnica Dolna,nowotarski,małopolskie,24,346,3306,281,4,70,5,5,374,8,6
gm. Raba Wyżna,nowotarski,małopolskie,84,515,4683,591,13,116,6,3,771,5,16
gm. Rabka-Zdrój,nowotarski,małopolskie,132,606,5230,846,15,170,12,7,1714,13,23
gm. Spytkowice,nowotarski,małopolskie,14,196,1619,171,9,34,4,1,213,1,3
gm. Szaflary,nowotarski,małopolskie,22,393,3364,287,3,64,4,3,413,1,10
m. Bukowno,olkuski,małopolskie,141,380,2143,759,13,88,2,12,1591,10,11
gm. Bolesław,olkuski,małopolskie,112,287,1710,578,6,104,2,2,1107,7,10
gm. Klucze,olkuski,małopolskie,213,558,3690,1044,14,229,1,8,2350,7,33
gm. Olkusz,olkuski,małopolskie,554,1892,12551,3155,55,567,21,30,7071,44,58
gm. Trzyciąż,olkuski,małopolskie,30,213,2612,327,5,156,4,4,390,5,9
gm. Wolbrom,olkuski,małopolskie,181,859,6910,1375,18,325,7,12,2282,8,19
m. Oświęcim,oświęcimski,małopolskie,473,1321,7810,2637,36,365,17,25,7035,30,42
gm. Brzeszcze,oświęcimski,małopolskie,242,676,5546,1359,16,310,10,11,3178,18,23
gm. Chełmek,oświęcimski,małopolskie,128,533,3156,873,10,115,7,8,1847,9,22
gm. Kęty,oświęcimski,małopolskie,298,1413,8689,2082,28,652,17,16,4579,16,28
gm. Osiek,oświęcimski,małopolskie,75,381,2503,522,6,154,1,9,747,5,14
gm. Oświęcim,oświęcimski,małopolskie,172,752,4930,1492,17,280,12,19,2890,7,32
gm. Polanka Wielka,oświęcimski,małopolskie,26,213,1253,359,2,98,2,1,467,3,3
